----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
Avg WT-Idle per Task
;Base;0,00012323748228980678;0,00011514789663503991;0,00011597440288497566
;Reference;24816,55798051614;17873,240349160675;858,7409796036735
;Reference Random;44652,24087597331;20942,162540823174;1360,2030535537012
;Reference Optimos;7876,452217959708;15597,110433083786;858,7409796036735
;SA;2566,3282702539773;3463,187226871046;1343,911217918142
;Tabu Search;8859,335107653982;3921,8553454251114;461,2531678689942
;PPO;15838,947610624733;27209,434052416054;6845,294899849125
;Tabu Random;6202,859517318342;16374,223354360733;611,7880870654643
;SA Random;50001,276250502415;20867,644414189108;997,1484587510075
;PPO Random;11951,13939034167;28467,427455942125;1246,852808957559

----------------------------------------
Sheet: Callcentre
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;663;668;467
;Tabu Search;20;220;8
;PPO;6609;2115;2999
;Tabu Search Random;867;13;17
;Simulated Annealing Random;867;867;867
;PPO Random;4999;9003;4356

# Solutions
;Total Unique;22860;24410;14447
;Total Unique Random;7962;9921;5158
;Total Unique Optimos;14898;14489;9289
;SA;10012;10021;7162
;Tabu Search;315;3403;113
;PPO;6610;2116;3001
;Tabu Random;2610;45;57
;SA Random;2610;2610;2610
;PPO Random;5001;9004;4357

# Invalid Solutions Ratio
;Total;0,08490813648293963;0,04326095862351495;0,09102235758288918
;Total Random;0,19580507410198442;0,09535329099889124;0,20899573478092284
;Total Optimos;0,02564102564102564;0,007591966319276693;0,02551404887501346
;SA;0,03595685177786656;0,03881848118950205;0,04342362468584195
;Tabu Search;0,012698412698412698;0,03790772847487511;0,035398230088495575
;PPO;0,06127080181543117;0,03969754253308128;0,08330556481172942
;Tabu Random;0,5885057471264368;0,24444444444444444;0,2807017543859649
;SA Random;0,503448275862069;0,4942528735632184;0,5130268199233716
;PPO Random;0,0643871225754849;0,054864504664593514;0,13541427587789764

Pareto Size
;Reference;15;14;13
;Reference Random;9;17;17
;Reference Optimos;15;5;9
;SA;7;4;5
;Tabu Search;1;4;1
;PPO;17;5;9
;Tabu Random;9;2;3
;SA Random;11;9;15
;PPO Random;9;12;8

Hyperarea Ratio
;Reference Random;0,9999263516482624;0,9999939170995052;0,9999832259756691
;Reference Optimos;1,0;0,9991837082449233;0,9999998223595916
;SA;0,9777087617113334;0,9093370163023642;0,9957979947590888
;Tabu Search;0,983634922057735;0,9111895623163218;0,995356191583265
;PPO;1,0;0,9991837082449233;0,9999998223595916
;Tabu Random;0,9882474142844773;0,8406113957461673;0,9985307618004844
;SA Random;0,9993528227770189;0,9999920952204494;0,9999832259364878
;PPO Random;0,9999263516482624;0,9991134232820108;0,9999624357943201

Hausdorff
;Reference Random;20522,84510594446;1199,307798326391;17646,89980814522
;Reference Optimos;0,0;26800,079560920432;3270,6020862146333
;SA;33019,803979641765;271567,488749944;517182,7086675556
;Tabu Search;29609,434775724083;216393,81961852702;581762,658804858
;PPO;0,0;26800,079560920432;3270,6020862146333
;Tabu Random;24933,619904758118;409015,9048998238;891974,322936855
;SA Random;54507,65409513299;2173,164035597488;18693,24579644999
;PPO Random;20522,84510594446;17516,95081793656;13509,846996531416

Delta
;Reference Random;0,9868687348123661;1,2137781549780995;1,2296990881985108
;Reference Optimos;1,74236318035687;0,9996771777417336;1,6012085835072096
;SA;0,9344546234937795;0,9540354816833309;0,0
;Tabu Search;0,0;0,936022442964029;0,0
;PPO;1,74236318035687;0,9996771777417336;1,6012085835072096
;Tabu Random;1,0237662395786213;0,9727611978042738;0,9215677777329371
;SA Random;1,2911783555367387;1,0113369238597687;1,1946709508983342
;PPO Random;0,9868687348123661;0,9730052037013;1,0139583890470683

Purity
;Reference Random;0,0;0,6428571428571429;0,6153846153846154
;Reference Optimos;1,0;0,35714285714285715;0,38461538461538464
;SA;0,0;0,0;0,0
;Tabu Search;0,0;0,0;0,0
